# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
139 5.2933729e-01 2.2083561e+01 5.1025581e+00 2.6783487e-01 3.5515404e+00 6.0584658e-01 2.2009892e+01 1.3166941e+02
140 5.2624202e-01 2.2086889e+01 5.0579300e+00 2.7364942e-01 3.5666211e+00 6.0410583e-01 2.1994892e+01 1.3287961e+02
141 5.2497852e-01 2.2107309e+01 5.0234041e+00 2.7207932e-01 3.5587494e+00 6.0432345e-01 2.1923500e+01 1.3409161e+02
142 5.2671683e-01 2.2062208e+01 4.9901299e+00 2.7010059e-01 3.5485954e+00 6.0287446e-01 2.1967207e+01 1.3534161e+02
143 5.3491908e-01 2.2089296e+01 4.9697890e+00 2.2270621e-01 3.5526285e+00 6.0850966e-01 2.1983679e+01 1.3649356e+02
144 5.3132945e-01 2.2108000e+01 4.9339619e+00 2.4653511e-01 3.5786216e+00 6.3624382e-01 2.1949778e+01 1.3760757e+02
145 5.3586203e-01 2.2075060e+01 4.9614668e+00 2.7023470e-01 3.5192449e+00 6.1964244e-01 2.1934107e+01 1.3869859e+02
146 5.3998506e-01 2.2086744e+01 4.9256821e+00 2.2781788e-01 3.5432301e+00 6.0051042e-01 2.1968519e+01 1.3985759e+02
147 5.2381200e-01 2.2074368e+01 4.8883142e+00 2.6352751e-01 3.5098503e+00 6.0483664e-01 2.1954332e+01 1.4095859e+02
148 5.2255559e-01 2.2112041e+01 4.8870587e+00 2.7035007e-01 3.5261760e+00 6.0958511e-01 2.1867607e+01 1.4204459e+02
149 5.2905637e-01 2.2064344e+01 4.8568659e+00 2.2842093e-01 3.5160151e+00 6.1375523e-01 2.1918629e+01 1.4336460e+02
150 5.2862811e-01 2.2108343e+01 4.8559775e+00 2.3417445e-01 3.5101819e+00 6.1334878e-01 2.1993965e+01 1.4468260e+02
151 5.2701253e-01 2.2074289e+01 4.8238792e+00 2.5345868e-01 3.5115309e+00 6.2326485e-01 2.2021057e+01 1.4591060e+02
152 5.3016627e-01 2.2141605e+01 4.8180685e+00 2.8007096e-01 3.4950399e+00 6.0052294e-01 2.2020679e+01 1.4704260e+02
153 5.1870614e-01 2.2141024e+01 4.7830076e+00 2.7321264e-01 3.5048070e+00 5.9752738e-01 2.1974878e+01 1.4823060e+02
154 5.2055627e-01 2.2148779e+01 4.7494278e+00 2.8793710e-01 3.4788780e+00 6.0064584e-01 2.1988150e+01 1.4931660e+02
155 5.1693541e-01 2.2126709e+01 4.7184949e+00 2.3468634e-01 3.5007710e+00 5.9548712e-01 2.2049488e+01 1.5043459e+02
156 5.1513737e-01 2.2130226e+01 4.6910796e+00 2.4715339e-01 3.5014386e+00 5.9536296e-01 2.1957281e+01 1.5159959e+02
157 5.1447123e-01 2.2102476e+01 4.6597333e+00 2.7373436e-01 3.4985790e+00 5.9517395e-01 2.2020884e+01 1.5269759e+02
158 5.1010001e-01 2.2104755e+01 4.6504397e+00 2.5868621e-01 3.4599664e+00 5.9677488e-01 2.1921667e+01 1.5386359e+02
159 5.1109833e-01 2.2085688e+01 4.6317010e+00 2.5229153e-01 3.4740050e+00 5.9615266e-01 2.1937801e+01 1.5496859e+02
160 5.0941968e-01 2.2090172e+01 4.6145887e+00 2.6234901e-01 3.4773798e+00 5.9864140e-01 2.1881289e+01 1.5616959e+02
161 5.1079136e-01 2.2094704e+01 4.5837002e+00 2.5265092e-01 3.4478076e+00 6.0108465e-01 2.1968719e+01 1.5755160e+02
162 5.1263571e-01 2.2105051e+01 4.5535302e+00 2.6009127e-01 3.4493828e+00 5.8830309e-01 2.1906052e+01 1.5888159e+02
163 5.1647896e-01 2.2117136e+01 4.5554500e+00 2.2730435e-01 3.4556968e+00 5.9240812e-01 2.1926386e+01 1.5999959e+02
164 5.1030111e-01 2.2127001e+01 4.5185699e+00 2.4371335e-01 3.4400723e+00 5.8543563e-01 2.1970201e+01 1.6113759e+02
165 5.1162559e-01 2.2129564e+01 4.4942808e+00 2.3819089e-01 3.4484880e+00 5.9328872e-01 2.2029089e+01 1.6229158e+02
166 5.0439417e-01 2.2083305e+01 4.5020366e+00 2.7171075e-01 3.3920476e+00 5.9256607e-01 2.2074265e+01 1.6342058e+02
167 5.0254941e-01 2.2153124e+01 4.4582148e+00 2.3284490e-01 3.4222043e+00 5.8609021e-01 2.1989113e+01 1.6456158e+02
168 4.9943063e-01 2.2191319e+01 4.4190454e+00 2.7686363e-01 3.4366705e+00 5.8773744e-01 2.2029112e+01 1.6576658e+02
169 4.9875486e-01 2.2173222e+01 4.3944631e+00 2.3570599e-01 3.4243612e+00 5.8479625e-01 2.2025200e+01 1.6686160e+02
170 4.9621716e-01 2.2200066e+01 4.3799143e+00 2.2884744e-01 3.4162676e+00 5.8433479e-01 2.2062996e+01 1.6802260e+02
171 4.9552372e-01 2.2192816e+01 4.3580151e+00 2.3559000e-01 3.4157920e+00 5.8315301e-01 2.2104292e+01 1.6920260e+02
